a,b,c
0.409758807,0.132665143,0
0.985833838,-0.294761625,0
0.490495982,0.843361133,0
1.075700616,-0.19833495,0
0.785634745,-0.064246058,0
0.973597083,0.112938214,0
0.661816918,-0.005348072,0
0.15581265,2.289906693,0
0.787025958,0.063082225,0
1.033735655,-0.299700351,0
1.062286715,-0.275806372,0
0.182098662,5.580840969,0
0.363095642,2.349366481,0
0.613995932,-0.024592239,0
1.653678921,-0.566651113,0
0.93099411,0.647427255,0
0.529344787,0.377868729,0
0.912532857,0.075338261,0
0.396648489,1.663820164,0
0.291809526,1.813618844,0
0.355522457,2.816644568,0
1.094380359,-0.130525848,0
0.941743616,-0.354483094,0
0.785804604,0.551395646,0
0.961485281,-0.075072136,0
0.581996513,-0.10391077,0
0.614220071,0.188018094,0
0.924148149,0.375720173,0
0.690459671,0.245734722,0
0.775704031,0.540213201,0
1.144622516,0.12253166,0
1.154472347,-0.039672842,0
0.773608448,0.568222612,0
1.36067395,-0.50334216,0
0.744102795,0.791631169,0
0.567082767,1.343506128,0
0.591521085,0.215603854,0
0.308078253,3.24652612,0
1.184044283,-0.119698835,0
0.607689913,0.868541499,0
0.286541846,4.901349954,0
-0.441930867,-3.221172232,0
1.314534652,-0.393389879,0
0.707660854,0.944274324,0
0.484182809,1.752629455,0
1.008281528,0.188302973,0
1.017118565,-0.418553773,0
0.777423245,0.793724092,0
0.669774762,0.743101415,0
0.884962544,0.643232936,0
1.414276253,-0.277027066,0
1.744765097,-0.531635148,0
1.872765313,-0.784010749,0
0.789165717,0.365745449,0
1.182028864,-0.388314559,0
0.072503784,11.70482344,0
0.723957662,0.642545324,0
1.24770686,-0.160262643,0
1.444587621,-0.111473254,0
0.671971985,1.260577051,0
